Year;District;deaths;pop;dens_pop;gdp;share_industry;dens_doc;houshold_house;household_size;share_male;share_5_14;share_20_39;share_60
1913;101;234;13524;119.7312156;2681;0.618;0.053119439;1.38;4.1;0.486;0.205;0.279;0.106
1914;101;186;13524;119.7312156;2681;0.618;0.053119439;1.38;4.1;0.486;0.205;0.279;0.106
1915;101;178;13524;119.7312156;2681;0.618;0.053119439;1.38;4.1;0.486;0.205;0.279;0.106
1916;101;173;13524;119.7312156;2681;0.618;0.053119439;1.38;4.1;0.486;0.205;0.279;0.106
1917;101;190;13524;119.7312156;2681;0.618;0.053119439;1.38;4.1;0.486;0.205;0.279;0.106
1918;101;227;13524;119.7312156;2681;0.618;0.053119439;1.38;4.1;0.486;0.205;0.279;0.106
1913;102;286;18338;110.1895599;1578;0.48;0.036052861;1.32;4.4;0.505;0.202;0.275;0.116
1914;102;306;18338;110.1895599;1578;0.48;0.036052861;1.32;4.4;0.505;0.202;0.275;0.116
1915;102;298;18338;110.1895599;1578;0.48;0.036052861;1.32;4.4;0.505;0.202;0.275;0.116
1916;102;269;18338;110.1895599;1578;0.48;0.036052861;1.32;4.4;0.505;0.202;0.275;0.116
1917;102;342;18338;110.1895599;1578;0.48;0.036052861;1.32;4.4;0.505;0.202;0.275;0.116
1918;102;451;18338;110.1895599;1578;0.48;0.036052861;1.32;4.4;0.505;0.202;0.275;0.116
1913;103;331;25105;135.7837326;1913;0.626;0.048677697;1.4;4.5;0.493;0.213;0.282;0.1
1914;103;320;25105;135.7837326;1913;0.626;0.048677697;1.4;4.5;0.493;0.213;0.282;0.1
1915;103;308;25105;135.7837326;1913;0.626;0.048677697;1.4;4.5;0.493;0.213;0.282;0.1
1916;103;295;25105;135.7837326;1913;0.626;0.048677697;1.4;4.5;0.493;0.213;0.282;0.1
1917;103;338;25105;135.7837326;1913;0.626;0.048677697;1.4;4.5;0.493;0.213;0.282;0.1
1918;103;487;25105;135.7837326;1913;0.626;0.048677697;1.4;4.5;0.493;0.213;0.282;0.1
1913;104;208;13533;85.2082764;2208;0.486;0.025185333;1.28;5;0.524;0.236;0.271;0.101
1914;104;219;13533;85.2082764;2208;0.486;0.025185333;1.28;5;0.524;0.236;0.271;0.101
1915;104;188;13533;85.2082764;2208;0.486;0.025185333;1.28;5;0.524;0.236;0.271;0.101
1916;104;187;13533;85.2082764;2208;0.486;0.025185333;1.28;5;0.524;0.236;0.271;0.101
1917;104;168;13533;85.2082764;2208;0.486;0.025185333;1.28;5;0.524;0.236;0.271;0.101
1918;104;285;13533;85.2082764;2208;0.486;0.025185333;1.28;5;0.524;0.236;0.271;0.101
1913;105;459;36655;205.1578549;2668;0.817;0.100745912;1.61;3.9;0.478;0.198;0.292;0.102
1914;105;472;36655;205.1578549;2668;0.817;0.100745912;1.61;3.9;0.478;0.198;0.292;0.102
1915;105;523;36655;205.1578549;2668;0.817;0.100745912;1.61;3.9;0.478;0.198;0.292;0.102
1916;105;452;36655;205.1578549;2668;0.817;0.100745912;1.61;3.9;0.478;0.198;0.292;0.102
1917;105;456;36655;205.1578549;2668;0.817;0.100745912;1.61;3.9;0.478;0.198;0.292;0.102
1918;105;635;36655;205.1578549;2668;0.817;0.100745912;1.61;3.9;0.478;0.198;0.292;0.102
1913;106;639;46054;441.144635;3251;0.898;0.249050256;2.08;4;0.472;0.195;0.326;0.084
1914;106;560;46054;441.144635;3251;0.898;0.249050256;2.08;4;0.472;0.195;0.326;0.084
1915;106;492;46054;441.144635;3251;0.898;0.249050256;2.08;4;0.472;0.195;0.326;0.084
1916;106;534;46054;441.144635;3251;0.898;0.249050256;2.08;4;0.472;0.195;0.326;0.084
1917;106;563;46054;441.144635;3251;0.898;0.249050256;2.08;4;0.472;0.195;0.326;0.084
1918;106;724;46054;441.144635;3251;0.898;0.249050256;2.08;4;0.472;0.195;0.326;0.084
1913;107;398;27643;360.7682329;2344;0.788;0.221866656;1.53;4;0.475;0.187;0.296;0.112
1914;107;360;27643;360.7682329;2344;0.788;0.221866656;1.53;4;0.475;0.187;0.296;0.112
1915;107;304;27643;360.7682329;2344;0.788;0.221866656;1.53;4;0.475;0.187;0.296;0.112
1916;107;333;27643;360.7682329;2344;0.788;0.221866656;1.53;4;0.475;0.187;0.296;0.112
1917;107;344;27643;360.7682329;2344;0.788;0.221866656;1.53;4;0.475;0.187;0.296;0.112
1918;107;475;27643;360.7682329;2344;0.788;0.221866656;1.53;4;0.475;0.187;0.296;0.112
1913;108;249;18650;115.5466285;2519;0.669;0.037173178;1.28;4.2;0.482;0.202;0.282;0.111
1914;108;252;18650;115.5466285;2519;0.669;0.037173178;1.28;4.2;0.482;0.202;0.282;0.111
1915;108;258;18650;115.5466285;2519;0.669;0.037173178;1.28;4.2;0.482;0.202;0.282;0.111
1916;108;233;18650;115.5466285;2519;0.669;0.037173178;1.28;4.2;0.482;0.202;0.282;0.111
1917;108;287;18650;115.5466285;2519;0.669;0.037173178;1.28;4.2;0.482;0.202;0.282;0.111
1918;108;381;18650;115.5466285;2519;0.669;0.037173178;1.28;4.2;0.482;0.202;0.282;0.111
1913;109;310;20944;187.0288893;2309;0.728;0.080369557;1.41;4.2;0.477;0.198;0.292;0.104
1914;109;329;20944;187.0288893;2309;0.728;0.080369557;1.41;4.2;0.477;0.198;0.292;0.104
1915;109;298;20944;187.0288893;2309;0.728;0.080369557;1.41;4.2;0.477;0.198;0.292;0.104
1916;109;247;20944;187.0288893;2309;0.728;0.080369557;1.41;4.2;0.477;0.198;0.292;0.104
1917;109;280;20944;187.0288893;2309;0.728;0.080369557;1.41;4.2;0.477;0.198;0.292;0.104
1918;109;382;20944;187.0288893;2309;0.728;0.080369557;1.41;4.2;0.477;0.198;0.292;0.104
1913;110;851;67508;268.8332189;2506;0.847;0.123449514;1.95;4.2;0.5;0.189;0.316;0.11
1914;110;816;67508;268.8332189;2506;0.847;0.123449514;1.95;4.2;0.5;0.189;0.316;0.11
1915;110;761;67508;268.8332189;2506;0.847;0.123449514;1.95;4.2;0.5;0.189;0.316;0.11
1916;110;799;67508;268.8332189;2506;0.847;0.123449514;1.95;4.2;0.5;0.189;0.316;0.11
1917;110;853;67508;268.8332189;2506;0.847;0.123449514;1.95;4.2;0.5;0.189;0.316;0.11
1918;110;1256;67508;268.8332189;2506;0.847;0.123449514;1.95;4.2;0.5;0.189;0.316;0.11
1913;111;2675;243709;1627.606445;3326;0.978;1.495980221;3.52;4;0.491;0.172;0.391;0.06
1914;111;2560;243709;1627.606445;3326;0.978;1.495980221;3.52;4;0.491;0.172;0.391;0.06
1915;111;2363;243709;1627.606445;3326;0.978;1.495980221;3.52;4;0.491;0.172;0.391;0.06
1916;111;2530;243709;1627.606445;3326;0.978;1.495980221;3.52;4;0.491;0.172;0.391;0.06
1917;111;2645;243709;1627.606445;3326;0.978;1.495980221;3.52;4;0.491;0.172;0.391;0.06
1918;111;3607;243709;1627.606445;3326;0.978;1.495980221;3.52;4;0.491;0.172;0.391;0.06
1913;201;294;19174;125.0277129;2202;0.578;0.052165521;1.41;4.7;0.529;0.242;0.28;0.097
1914;201;285;19174;125.0277129;2202;0.578;0.052165521;1.41;4.7;0.529;0.242;0.28;0.097
1915;201;271;19174;125.0277129;2202;0.578;0.052165521;1.41;4.7;0.529;0.242;0.28;0.097
1916;201;275;19174;125.0277129;2202;0.578;0.052165521;1.41;4.7;0.529;0.242;0.28;0.097
1917;201;313;19174;125.0277129;2202;0.578;0.052165521;1.41;4.7;0.529;0.242;0.28;0.097
1918;201;444;19174;125.0277129;2202;0.578;0.052165521;1.41;4.7;0.529;0.242;0.28;0.097
1913;202;398;28690;187.4601018;2105;0.679;0.065339875;1.58;4.6;0.497;0.245;0.263;0.093
1914;202;372;28690;187.4601018;2105;0.679;0.065339875;1.58;4.6;0.497;0.245;0.263;0.093
1915;202;323;28690;187.4601018;2105;0.679;0.065339875;1.58;4.6;0.497;0.245;0.263;0.093
1916;202;346;28690;187.4601018;2105;0.679;0.065339875;1.58;4.6;0.497;0.245;0.263;0.093
1917;202;356;28690;187.4601018;2105;0.679;0.065339875;1.58;4.6;0.497;0.245;0.263;0.093
1918;202;491;28690;187.4601018;2105;0.679;0.065339875;1.58;4.6;0.497;0.245;0.263;0.093
1913;203;1595;131711;569.8175914;3024;0.926;0.532131437;2.7;4.4;0.481;0.201;0.343;0.07
1914;203;1604;131711;569.8175914;3024;0.926;0.532131437;2.7;4.4;0.481;0.201;0.343;0.07
1915;203;1521;131711;569.8175914;3024;0.926;0.532131437;2.7;4.4;0.481;0.201;0.343;0.07
1916;203;1494;131711;569.8175914;3024;0.926;0.532131437;2.7;4.4;0.481;0.201;0.343;0.07
1917;203;1538;131711;569.8175914;3024;0.926;0.532131437;2.7;4.4;0.481;0.201;0.343;0.07
1918;203;2494;131711;569.8175914;3024;0.926;0.532131437;2.7;4.4;0.481;0.201;0.343;0.07
1913;204;332;34886;1378.925982;3143;0.986;0.790532582;3.07;4;0.479;0.204;0.328;0.063
1914;204;380;34886;1378.925982;3143;0.986;0.790532582;3.07;4;0.479;0.204;0.328;0.063
1915;204;333;34886;1378.925982;3143;0.986;0.790532582;3.07;4;0.479;0.204;0.328;0.063
1916;204;340;34886;1378.925982;3143;0.986;0.790532582;3.07;4;0.479;0.204;0.328;0.063
1917;204;372;34886;1378.925982;3143;0.986;0.790532582;3.07;4;0.479;0.204;0.328;0.063
1918;204;632;34886;1378.925982;3143;0.986;0.790532582;3.07;4;0.479;0.204;0.328;0.063
1913;205;165;12802;146.0040487;1934;0.698;0.057023922;1.53;4.5;0.51;0.25;0.274;0.079
1914;205;145;12802;146.0040487;1934;0.698;0.057023922;1.53;4.5;0.51;0.25;0.274;0.079
1915;205;136;12802;146.0040487;1934;0.698;0.057023922;1.53;4.5;0.51;0.25;0.274;0.079
1916;205;140;12802;146.0040487;1934;0.698;0.057023922;1.53;4.5;0.51;0.25;0.274;0.079
1917;205;148;12802;146.0040487;1934;0.698;0.057023922;1.53;4.5;0.51;0.25;0.274;0.079
1918;205;227;12802;146.0040487;1934;0.698;0.057023922;1.53;4.5;0.51;0.25;0.274;0.079
1913;206;419;32390;164.0766799;2308;0.682;0.065853561;1.76;4.7;0.504;0.234;0.285;0.086
1914;206;398;32390;164.0766799;2308;0.682;0.065853561;1.76;4.7;0.504;0.234;0.285;0.086
1915;206;417;32390;164.0766799;2308;0.682;0.065853561;1.76;4.7;0.504;0.234;0.285;0.086
1916;206;415;32390;164.0766799;2308;0.682;0.065853561;1.76;4.7;0.504;0.234;0.285;0.086
1917;206;401;32390;164.0766799;2308;0.682;0.065853561;1.76;4.7;0.504;0.234;0.285;0.086
1918;206;613;32390;164.0766799;2308;0.682;0.065853561;1.76;4.7;0.504;0.234;0.285;0.086
1913;207;342;26223;98.53347707;2317;0.869;0.037575211;2.3;4;0.482;0.222;0.292;0.074
1914;207;307;26223;98.53347707;2317;0.869;0.037575211;2.3;4;0.482;0.222;0.292;0.074
1915;207;302;26223;98.53347707;2317;0.869;0.037575211;2.3;4;0.482;0.222;0.292;0.074
1916;207;326;26223;98.53347707;2317;0.869;0.037575211;2.3;4;0.482;0.222;0.292;0.074
1917;207;347;26223;98.53347707;2317;0.869;0.037575211;2.3;4;0.482;0.222;0.292;0.074
1918;207;469;26223;98.53347707;2317;0.869;0.037575211;2.3;4;0.482;0.222;0.292;0.074
1913;208;307;21959;81.60145314;1878;0.675;0.022296494;1.49;4.6;0.508;0.226;0.29;0.082
1914;208;291;21959;81.60145314;1878;0.675;0.022296494;1.49;4.6;0.508;0.226;0.29;0.082
1915;208;285;21959;81.60145314;1878;0.675;0.022296494;1.49;4.6;0.508;0.226;0.29;0.082
1916;208;242;21959;81.60145314;1878;0.675;0.022296494;1.49;4.6;0.508;0.226;0.29;0.082
1917;208;241;21959;81.60145314;1878;0.675;0.022296494;1.49;4.6;0.508;0.226;0.29;0.082
1918;208;364;21959;81.60145314;1878;0.675;0.022296494;1.49;4.6;0.508;0.226;0.29;0.082
1913;209;98;7915;94.46809628;2718;0.486;0.02387065;1.25;4.6;0.536;0.242;0.271;0.088
1914;209;116;7915;94.46809628;2718;0.486;0.02387065;1.25;4.6;0.536;0.242;0.271;0.088
1915;209;100;7915;94.46809628;2718;0.486;0.02387065;1.25;4.6;0.536;0.242;0.271;0.088
1916;209;99;7915;94.46809628;2718;0.486;0.02387065;1.25;4.6;0.536;0.242;0.271;0.088
1917;209;115;7915;94.46809628;2718;0.486;0.02387065;1.25;4.6;0.536;0.242;0.271;0.088
1918;209;148;7915;94.46809628;2718;0.486;0.02387065;1.25;4.6;0.536;0.242;0.271;0.088
1913;210;154;11305;58.88030033;2264;0.636;0.015625024;1.49;4.6;0.515;0.244;0.281;0.086
1914;210;144;11305;58.88030033;2264;0.636;0.015625024;1.49;4.6;0.515;0.244;0.281;0.086
1915;210;141;11305;58.88030033;2264;0.636;0.015625024;1.49;4.6;0.515;0.244;0.281;0.086
1916;210;162;11305;58.88030033;2264;0.636;0.015625024;1.49;4.6;0.515;0.244;0.281;0.086
1917;210;139;11305;58.88030033;2264;0.636;0.015625024;1.49;4.6;0.515;0.244;0.281;0.086
1918;210;166;11305;58.88030033;2264;0.636;0.015625024;1.49;4.6;0.515;0.244;0.281;0.086
1913;211;192;14429;116.6835949;2111;0.595;0.04852045;1.49;4.8;0.519;0.241;0.267;0.088
1914;211;186;14429;116.6835949;2111;0.595;0.04852045;1.49;4.8;0.519;0.241;0.267;0.088
1915;211;158;14429;116.6835949;2111;0.595;0.04852045;1.49;4.8;0.519;0.241;0.267;0.088
1916;211;163;14429;116.6835949;2111;0.595;0.04852045;1.49;4.8;0.519;0.241;0.267;0.088
1917;211;196;14429;116.6835949;2111;0.595;0.04852045;1.49;4.8;0.519;0.241;0.267;0.088
1918;211;278;14429;116.6835949;2111;0.595;0.04852045;1.49;4.8;0.519;0.241;0.267;0.088
1913;212;193;13446;27.56627664;1891;0.515;0.016401176;1.21;4.3;0.586;0.193;0.365;0.064
1914;212;188;13446;27.56627664;1891;0.515;0.016401176;1.21;4.3;0.586;0.193;0.365;0.064
1915;212;178;13446;27.56627664;1891;0.515;0.016401176;1.21;4.3;0.586;0.193;0.365;0.064
1916;212;161;13446;27.56627664;1891;0.515;0.016401176;1.21;4.3;0.586;0.193;0.365;0.064
1917;212;150;13446;27.56627664;1891;0.515;0.016401176;1.21;4.3;0.586;0.193;0.365;0.064
1918;212;237;13446;27.56627664;1891;0.515;0.016401176;1.21;4.3;0.586;0.193;0.365;0.064
1913;213;482;28460;42.04597549;1850;0.693;0.020683192;1.51;3.9;0.507;0.228;0.298;0.086
1914;213;384;28460;42.04597549;1850;0.693;0.020683192;1.51;3.9;0.507;0.228;0.298;0.086
1915;213;331;28460;42.04597549;1850;0.693;0.020683192;1.51;3.9;0.507;0.228;0.298;0.086
